band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,W285GH,104.9,HARTSVILLE,TN,,36.474000000000004,86.2773888888889,D,OLDIES,FUN RADIO,"FUN MEDIA GROUP OF TENNESSEE, LLC",0.25,,,,,,,,,140683.0
FM,W229DO,93.7,KNOXVILLE,TN,,36.00527777777778,83.93972222222223,D,ROCK,93.7 WVLZ,MID-CENTURY RADIO LLC,0.009,185.0,,,,,,,,144875.0
FM,W229DN,93.7,HARTSVILLE,TN,,36.388416666666664,86.17283333333334,D,OLDIES,FUN RADIO,"FUN MEDIA GROUP OF TENNESSEE, LLC",0.25,,,,,,,,,201604.0
FM,W256ED,99.1,NASHVILLE,TN,,36.26552777777778,86.80352777777777,D,GOSPEL MUSIC,SPIRIT,THE MIGHTY SEVEN NINETY INCORPORATED,0.25,,,,,,,,,200720.0
FM,W259DN,99.7,CHATTANOOGA,TN,,35.20722222222223,85.28111111111112,D,GOSPEL MUSIC/RELIGIOUS TEACHING,107.3 FM WNOO 1260 AM,"CLEAR MEDIA, LLC",0.099,-20.0,,,,,,,,141682.0
FM,W268DP,101.5,MEMPHIS,TN,,35.18388888888889,89.93694444444445,D,REGIONAL MEXICAN,LA JEFA 99.3 101.5,BUTRON MEDIA CORPORATION,0.25,,,,,,,,,148303.0
FM,W230DM,93.9,LOUDON,TN,,35.72516666666667,84.34697222222222,D,COUNTRY,GENUINE CLASSIC COUNTRY,RADIO LOUDON LLC,0.25,,,,,,,,,200943.0
FM,W296EN,107.1,WOODBURY,TN,,35.778666666666666,86.05275,D,COUNTRY,WBRY - FM 107.1; AM - 1540,"VOLUNTEER BROADCASTING, LLC",0.25,,,,,,,,,139937.0
FM,WATO,106.1,OLIVER SPRINGS,TN,,36.108111111111114,84.33547222222222,A,ROCK,ATOMIC 106,LOUD MEDIA LLC,0.19,532.4,,,,,,,,170987.0
FM,WEYM,91.5,TULLAHOMA,TN,,35.39813888888889,86.14444444444445,A,NEWS/TALK,NASHVILLE PUBLIC RADIO,HOPE MEDIA GROUP,1.55,82.0,,,,,,,,94201.0
FM,WFRW,93.7,KINGSTON SPRINGS,TN,,36.13616666666667,86.98444444444445,A,RELIGIOUS TEACHING,FAMILY RADIO,"K-LOVE, INC.",1.15,230.0,,,,,,,,18714.0
FM,WFTB-LP,104.1,NASHVILLE,TN,,36.35169444444445,86.78402777777778,LP100,,,TABNASHVILLE CDC,0.007,109.0,,,,,,,,779405.0
FM,WHCK,89.5,HUNTSVILLE,TN,,36.4053,84.53718055555555,A,RELIGIOUS TEACHING,WHCK 89.5 FM - THE BLESSING,,0.175,-4.0,,,,,,,,768397.0
FM,WJIG,88.1,BRUCETON,TN,,36.05419444444444,88.20044444444444,A,,,,0.15,21.0,,,,,,,,767841.0
FM,WJZF-LP,91.5,KNOXVILLE,TN,,36.00527777777778,83.93972222222223,LP100,,,BELLA BREAST CANCER FOUNDATION,0.006,114.0,,,,,,,,787351.0
FM,WJZM,105.1,WAVERLY,TN,,36.090333333333334,87.63475000000001,C2,ADULT CONTEMPORARY,105-1 WJZM,"FOWLER MEDIA, LLC",50.0,150.0,,,,,,,,41865.0
FM,WMAK-FM,106.5,CLIFTON,TN,,35.47813888888889,88.11002777777777,A,ADULT CONTEMPORARY,SUNNY 106.5,NUNLEY MEDIA WEST TENNESSEE LLC,3.8,126.7,,,,,,,,87463.0
FM,WMQY-LP,103.7,SMYRNA,TN,,35.981944444444444,86.58277777777778,LP100,,,RUTHERFORD COUNTY BAPTIST CHURCH,0.007,114.0,,,,,,,,785856.0
FM,WNKM-LP,107.1,KNOXVILLE,TN,,36.0425,83.96055555555556,LP100,RELIGIOUS,LIFETALK RADIO,NORTH KNOXVILLE HEALTH EDUCATION CENTER,0.062,29.0,,,,,,,,780792.0
FM,WORB-LP,95.5,NEWPORT,TN,,35.96277777777778,83.19527777777778,LP100,RELIGIOUS,,,0.1,-58.0,,,,,,,,783613.0
