band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,W206CK,89.1,FREDERICKSBURG,VA,,38.2725,77.49583333333334,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,"CSN INTERNATIONAL, INC.",0.019,74.6,,,,,,,,93601.0
FM,W240EN,95.9,MARTINSVILLE,VA,,36.61347222222222,79.91766666666668,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,CSN INTERNATIONAL,0.25,,,,,,,,,87024.0
FM,W237FN,95.3,LYNCHBURG,VA,,37.470463888888894,79.37609722222221,D,NEWS/TALK,,"3 DAUGHTERS MEDIA, INC.",0.135,,,,,,,,,201306.0
FM,W279EP,103.7,DANVILLE,VA,,36.60019444444445,79.42808333333333,D,ADULT CONTEMPORARY,WBTM BIG HITS 102.5,PIEDMONT BROADCASTING CORPORATION,0.25,22.1,,,,,,,,5088.0
FM,W277EB,103.3,WILLIAMSBURG,VA,,37.386944444444445,76.79583333333333,D,ROCK,INDEPENDENT MUSIC RADIO,"STUCOMM, INC",0.25,,,,,,,,,158513.0
FM,WARS,89.5,FARMVILLE,VA,,37.364444444444445,78.37083333333332,B1,,,FARMVILLE SEVENTH DAY ADVENTIST CHURCH,25.0,87.0,,,,,,,,767599.0
FM,WATO-LP,99.1,ELKTON,VA,,38.405,78.61083333333333,LP100,RELIGIOUS,,,0.1,-140.0,,,,,,,,787808.0
FM,WCBG-LP,97.3,CHRISTIANSBURG,VA,,37.14277777777778,80.39944444444446,LP100,RELIGIOUS,,,0.1,12.0,,,,,,,,788435.0
FM,WCCZ,96.9,NASSAWADOX,VA,,37.529583333333335,75.9118888888889,B1,CLASSIC HITS,96.9 THE CAPE,"GSB MEDIA, LLC",13.5,87.0,,,,,,,,162401.0
FM,WDCN-LD,87.7,FAIRFAX,VA,,38.8745,77.22322222222222,,CONTEMPORARY HIT RADIO,QUE ONDA,SIGNAL ABOVE LLC,0.0,,,,,,,,,20450.0
FM,WFIJ,90.9,ROCKY MOUNT,VA,,36.95427777777778,79.88016666666665,A,,,"LIFESTYLE HEALTH EDUCATION, INC",0.1,52.0,,,,,,,,768519.0
FM,WHCD,88.3,WYTHEVILLE,VA,,36.94574444444444,81.10111388888889,A,RELIGIOUS TEACHING,WHCD 88.3 FM - THE BLESSING,APPALACHIAN EDUCATIONAL COMMUNICATION CORPORATION,0.15,-13.0,,,,,,,,768654.0
FM,WHUK,102.3,CROZET,VA,,38.07983333333333,78.73916666666666,A,VARIETY HITS,102.3 THE HOOK,MONTICELLO MEDIA LLC,4.9,108.0,,,,,,,,11672.0
FM,WLGW,100.5,GLADE SPRING,VA,,36.84902777777778,81.64091666666667,A,CONTEMPORARY CHRISTIAN,K-LOVE,"K-LOVE, INC.",0.45,309.0,,,,,,,,166082.0
FM,WLGY,105.5,PENNINGTON GAP,VA,,36.73397222222222,83.04266666666666,A,CONTEMPORARY CHRISTIAN,K-LOVE,"K-LOVE, INC.",6.0,84.0,,,,,,,,36894.0
FM,WLNV,90.9,APPOMATTOX,VA,,37.37222222222222,78.83472222222221,A,,,"RISING TIDE BROADCASTING, INC",0.2,54.0,,,,,,,,767735.0
FM,WMYC-LP,93.3,MARION,VA,,36.77622222222222,81.65108333333333,LP100,,,TRINITY CHAPEL,0.1,-20.0,,,,,,,,778358.0
FM,WNRN-FM,91.9,CHARLOTTESVILLE,VA,,37.98222222222223,78.48388888888888,A,ROCK,INDEPENDENT MUSIC RADIO,"STU-COMM, INC.",0.56,325.0,,,,,,,,8710.0
FM,WSAY-LP,97.9,STAFFORD,VA,,38.47658333333334,77.42491666666668,LP100,ETHNIC,AFROWAVES RADIO,SANKOFA AFRICAN NETWORK,0.1,29.0,,,,,,,,783973.0
FM,WVXL,100.7,CHRISTIANSBURG,VA,,37.09205555555556,80.30558333333333,A,CONTEMPORARY HIT RADIO,HOT 100.7,MONTICELLO MEDIA LLC,0.82,270.0,,,,,,,,69744.0
FM,WWSD,91.7,SPOTSYLVANIA,VA,,38.190777777777775,77.69250000000001,A,,,,5.5,48.0,,,,,,,,766728.0
FM,WYHR,101.5,VINTON,VA,,37.250416666666666,79.93308333333334,A,RELIGIOUS TEACHING,,"BIBLE BROADCASTING NETWORK, INC.",1.2,198.0,,,,,,,,9047.0
FM,W261AI,100.1,FAIRLAWN,VA,,37.129,80.56894444444444,D,,,"BIBLE BROADCASTING NETWORK, INC.",0.006,32.0,,,,,,,,5099.0
FM,W201AI,88.1,COEBURN,VA,,36.94286111111111,82.50847222222222,D,VARIETY,MOUNTAIN COMMUNITY RADIO 88.7,"APPALSHOP, INCORPORATED",0.09,179.1,,,,,,,,2472.0
FM,W201AJ,88.1,BIG STONE GAP,VA,,36.84091666666667,82.73875,D,VARIETY,MOUNTAIN COMMUNITY RADIO 88.7,"APPALSHOP, INCORPORATED",0.09,347.3,,,,,,,,2480.0
FM,W201CN,88.1,AFTON,VA,,38.06622222222222,78.79805555555555,D,CLASSICAL/JAZZ,WVTF MUSIC,"VIRGINIA TECH FOUNDATION, INC.",0.125,503.4,,,,,,,,93681.0
FM,W203CB,88.5,RICHMOND,VA,,37.51263888888889,77.60111111111111,D,ADULT ALTERNATIVE,INDEPENDENT MUSIC RADIO,"STU-COMM, INC.",0.17,,RICHMOND,53.0,"1,098,200",,,,,54972.0
FM,W204BH,88.7,BOONES MILL,VA,,37.11677777777778,80.01586111111111,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,CSN INTERNATIONAL,0.01,602.8,,,,,,,,92374.0
FM,W204CH,88.7,FREDERICKSBURG,VA,,38.2815,77.48969444444444,D,RELIGIOUS TEACHING,BIBLE BROADCASTING NETWORK,"BIBLE BROADCASTING NETWORK, INC.",0.027,55.9,FREDERICKSBURG,138.0,"366,200",,,,,5103.0
FM,W208AP,89.5,LYNCHBURG,VA,,37.359027777777776,79.15863888888889,D,CLASSICAL/JAZZ,WVTF MUSIC,"VIRGINIA TECH FOUNDATION, INC.",0.01,187.9,ROANOKE-LYNCHBURG,121.0,"454,400",,,,,84544.0
FM,W208BN,89.5,CHRISTIANSBURG,VA,,37.18708333333333,80.45561111111111,D,RELIGIOUS TEACHING,BIBLE BROADCASTING NETWORK,"BIBLE BROADCASTING NETWORK, INC.",0.01,165.3,,,,,,,,5126.0
FM,W208BX,89.5,"ROANOKE, ETC.",VA,,37.23233333333334,80.04586111111111,D,CLASSICAL/JAZZ,WVTF MUSIC,"VIRGINIA TECH FOUNDATION, INC.",0.25,,ROANOKE-LYNCHBURG,121.0,"454,400",,,,,70342.0
FM,W209AA,89.7,CHARLOTTESVILLE,VA,,37.982083333333335,78.48388888888888,D,NEWS/TALK,RADIO IQ,"VIRGINIA TECH FOUNDATION, INC.",0.25,319.5,,,,,,,,70343.0
FM,W209BY,89.7,WOODBRIDGE,VA,,38.6565,77.28719444444444,D,CONTEMPORARY CHRISTIAN,THE JOURNEY,"POSITIVE ALTERNATIVE RADIO, INC.",0.008,113.0,"WASHINGTON, DC",8.0,"5,099,200",,,,,155019.0
FM,W211BE,90.1,LEBANON,VA,,36.820638888888894,82.07788888888888,D,CLASSICAL,WVTF MUSIC,"VIRGINIA TECH FOUNDATION, INC.",0.0085,595.5,JOHNSON CITY-KINGSPORT-BRISTOL,114.0,"479,300",,,,,92700.0
FM,W211BF,90.1,BIG STONE GAP,VA,,36.84091666666667,82.73875,D,NEWS/TALK,RADIO IQ,"VIRGINIA TECH FOUNDATION, INC.",0.008,341.3,,,,,,,,92702.0
FM,W212BP,90.3,CLINTWOOD,VA,,37.14563888888889,82.44819444444445,D,NEWS/TALK,RADIO IQ,"VIRGINIA TECH FOUNDATION, INC.",0.001,128.4,,,,,,,,121853.0
FM,W215BJ,90.9,ST. PAUL,VA,,36.89313888888889,82.30180555555555,D,NEWS/TALK,RADIO IQ,"VIRGINIA TECH FOUNDATION, INC.",0.001,-59.0,JOHNSON CITY-KINGSPORT-BRISTOL,114.0,"479,300",,,,,122133.0
FM,W216BO,91.1,HANSONVILLE,VA,,36.83341666666667,82.05705555555555,D,VARIETY,MOUNTAIN COMMUNITY RADIO 88.7,"APPALSHOP, INCORPORATED",0.01,572.3,JOHNSON CITY-KINGSPORT-BRISTOL,114.0,"479,300",,,,,92652.0
