band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,W260DB,99.9,NASHUA,NH,,42.75952777777778,71.47644444444444,D,Oldies,OLDIES RADIO WGAM,"ABSOLUTE BROADCASTING, LLC",0.25,,,,,,Celtics,,,83187.0
FM,W268DO,101.5,CHESTER,NH,,42.96327777777778,71.28925,D,Contemporary Christian,K-LOVE,"K-LOVE, INC.",0.25,,,,,,,,,201489.0
FM,W280EC,103.9,CONCORD,NH,,43.19472222222222,71.55499999999999,D,News/Talk,"WKXL 1450 AM, 103.9 AND 101.9 FM","NEW HAMPSHIRE FAMILY RADIO, LLC",0.038,162.8,,,,,Celtics,,,145612.0
FM,WDMN-LP,94.9,Manchester,NH,,42.98888888888889,71.45222222222222,LP100,,,PORTUGUESE RADIO FOUNDATION CORPORATION,0.1,-18.0,,,,,,,,778283.0
FM,WGGG-LP,102.3,Ossipee,NH,,43.78666666666666,71.16083333333334,LP100,Variety,OSSIPEE 102.3,"Ossipee Public Media, Inc.",0.1,-82.0,,,,,,,,788054.0
FM,WMZK-LP,102.9,MERRIMACK,NH,,42.86666666666667,71.49472222222222,LP100,Variety,,"TOWN OF MERRIMACK, NEW HAMPSHIRE",0.1,0.0,,,,,,,,125532.0
FM,WNHQ-LP,99.9,EPPING,NH,,43.019083333333334,71.03522222222222,LP100,Variety,,,0.019,63.0,,,,,,,,787859.0
FM,WWNH,91.5,Meredith,NH,,43.68558333333333,71.48594444444444,A,,,,0.022,140.0,,,,,,,,768177.0
FM,W212AF,90.3,NASHUA,NH,,42.74922222222222,71.4803888888889,D,Classical,CLASSICAL NEW HAMPSHIRE,"NEW HAMPSHIRE PUBLIC RADIO, INCORPORATED",0.25,29.0,Boston,10.0,"4,463,500",,,,,24802.0
FM,W217BH,91.3,LITTLETON,NH,,44.352833333333336,71.73675,D,News/Talk,NEW HAMPSHIRE PUBLIC RADIO,"NEW HAMPSHIRE PUBLIC RADIO, INCORPORATED",0.01,259.1,Lebanon-Hanover-White River Junction,217.0,"162,400",,,,,121808.0
FM,W221EM,92.1,DERRY,NH,,42.86638888888889,71.28769444444444,D,Religious Teaching,LIFE CHANGING RADIO 1320 AM - 92.1 FM,"BLOUNT COMMUNICATIONS, INC. OF NH",0.25,,Boston,10.0,"4,463,500",,,,,202248.0
FM,W223DC,92.5,BERLIN,NH,,44.48227777777778,71.17644444444444,D,Classic Rock,THE OUTLAW,"WHITE MOUNTAINS BROADCASTING, LLC",0.25,,,,,,,,,201383.0
FM,W225CB,92.9,TILTON,NH,,43.47338888888889,71.60588888888888,D,Oldies,OLDIES 92.9,NORTHEAST COMMUNICATIONS CORPORATION,0.25,,Concord,171.0,"252,500",,,,,138049.0
FM,W225CT,92.9,PLYMOUTH,NH,,43.739222222222224,71.79005555555555,D,Oldies,OLDIES 92.9,NORTHEAST COMMUNICATIONS CORPORATION,0.04,,Lebanon-Hanover-White River Junction,217.0,"162,400",,,,,201041.0
FM,W231BR,94.1,MANCHESTER,NH,,42.99475,71.46783333333333,D,Classic Hits,REWIND 94.1,"SAGA COMMUNICATIONS OF NEW ENGLAND, LLC",0.25,,Boston,10.0,"4,463,500",,,,,140894.0
FM,W231BW,94.1,LITTLETON,NH,,44.313111111111105,71.76841666666667,D,Classic Rock,THE OUTLAW,"CUPID BROADCASTING, LLC",0.25,-8.5,Lebanon-Hanover-White River Junction,217.0,"162,400",,,,,140105.0
FM,W231DV,94.1,KEENE,NH,,42.930638888888886,72.29952777777778,D,Talk,94.1/1290 WKBK,"SAGA COMMUNICATIONS OF NEW ENGLAND, LLC",0.25,,,,,,,,,201996.0
FM,W232DN,94.3,CLAREMONT,NH,,43.39588888888889,72.29397222222222,D,Sports,94 WEEI,"Great Eastern Radio, LLC",0.015,,Lebanon-Hanover-White River Junction,217.0,"162,400",Patriots,Celtics,,Red Sox,201650.0
FM,W234BN,94.7,CLAREMONT,NH,,43.392916666666665,72.3033611111111,D,Country,1010/94.7 WCNL COUNTRY,"SUGAR RIVER MEDIA, LLC",0.22,,Lebanon-Hanover-White River Junction,217.0,"162,400",,,,,146333.0
FM,W237BX,95.3,NORTH CONWAY,NH,,43.94672222222222,71.13950000000001,D,Soft AC,EASY 95.3,"Conway Broadcasting, LLC",0.25,,Concord,171.0,"252,500",,,,,147952.0
FM,W237CR,95.3,LITTLETON,NH,,44.313111111111105,71.76841666666667,D,Hot AC,KISS 102.3,"CUPID BROADCASTING, LLC",0.005,-1.5,Lebanon-Hanover-White River Junction,217.0,"162,400",,,,,147947.0
FM,W237FA,95.3,NASHUA,NH,,42.73455555555556,71.39327777777778,D,Talk,NASHUA`S NEWS AND TALK,"BARTIS BROADCASTING, LLC",0.12,14.0,Boston,10.0,"4,463,500",,,,,202373.0
FM,W240CS,95.9,BRISTOL,NH,,43.636722222222225,71.84172222222222,D,Religious Teaching,NEW HAMPSHIRE GOSPEL RADIO,"NEW HAMPSHIRE GOSPEL RADIO, INC.",0.01,,Lebanon-Hanover-White River Junction,217.0,"162,400",,,,,145019.0
FM,W241AJ,96.1,LACONIA,NH,,43.546,71.37808333333332,D,Country,MOUNTAIN COUNTRY NH,Lakes Media LLC,0.25,27.0,Concord,171.0,"252,500",,,,,142346.0
FM,W243DE,96.5,HOLDERNESS,NH,,43.71713888888889,71.54616666666666,D,News/Talk,NEW HAMPSHIRE PUBLIC RADIO,"NEW HAMPSHIRE PUBLIC RADIO, INCORPORATED",0.25,-39.9,Lebanon-Hanover-White River Junction,217.0,"162,400",,,,,140560.0
FM,W245AF,96.9,PLYMOUTH,NH,,43.68727777777777,71.71644444444445,D,Religious Teaching,NEW HAMPSHIRE GOSPEL RADIO,"NEW HAMPSHIRE GOSPEL RADIO, INC.",0.01,,Lebanon-Hanover-White River Junction,217.0,"162,400",,,,,86079.0
