band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,K203FR,88.5,LAS VEGAS,NV,,36.11611111111111,115.18658333333333,D,CONTEMPORARY CHRISTIAN,K-LOVE,"EDUCATIONAL RADIO FOUNDATION OF EAST TEXAS, INC.",0.25,,,,,,,,,138864.0
FM,K210FB,89.9,WINNEMUCCA,NV,,41.0085,117.77038888888889,D,CHRISTIAN CHR + ROCK,EFFECT RADIO,CSN INTERNATIONAL,0.01,655.9,,,,,,,,92263.0
FM,K240FG,95.9,FERNLEY,NV,,39.488055555555555,119.29777777777778,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,CSN INTERNATIONAL,0.01,,,,,,,,,142426.0
FM,KADD-FM2,93.5,LAS VEGAS,NV,,36.21047222222222,115.06,C,REGIONAL MEXICAN,LA MEJOR 93.5,,0.275,,,,,,,,,790331.0
FM,KADD-FM3,93.5,HENDERSON,NV,,36.11027777777778,115.00186111111111,C,,,,0.35,,,,,,,,,790332.0
FM,KHIQ,89.9,TONOPAH,NV,,38.07166666666667,117.23244444444444,A,,,"LUCKY BOY EDUCATIONAL MEDIA, INC.",0.015,102.0,,,,,,,,767775.0
FM,KIYQ,90.9,PAHRUMP,NV,,36.27188888888889,116.05727777777777,A,,,"READING, WRITING, ARITHMETIC, INC.",1.7,-104.0,,,,,,,,763859.0
FM,KLVG-LD,87.7,LAS VEGAS,NV,,35.94611111111111,115.0436111111111,,CONTEMPORARY CHRISTIAN,K-LOVE,,0.0,,,,,,,,,130027.0
FM,KNVM-LP,105.3,MESQUITE,NV,,36.831944444444446,114.05972222222222,LP100,EMERGENCY INFORMATION,,,0.1,-49.0,,,,,,,,788351.0
FM,KQMB,90.3,BEATTY,NV,,36.90575,116.76163888888888,A,,,"LUCKY BOY EDUCATIONAL MEDIA, INC.",0.1,-198.0,,,,,,,,767540.0
FM,KRXX,103.3,TONOPAH,NV,,38.07138888888889,117.2325,A,,,RXDIO.COM LLC,0.015,102.0,,,,,,,,762226.0
FM,KVPH,104.3,NORTH LAS VEGAS,NV,,35.96716666666667,115.5025,C,RELIGIOUS TEACHING,VCY AMERICA,"VCY AMERICA, INC.",24.5,1128.0,,,,,,,,19062.0
FM,KXXS,90.1,GOLDFIELD,NV,,37.709833333333336,117.23994444444445,A,,,,0.1,-43.0,,,,,,,,767998.0
FM,KXLI-FM2,94.5,LAS VEGAS,NV,,36.21047222222222,115.06,D,ADULT CONTEMPORARY,94.5 FM EXITO,"RADIO ACTIVO BROADCASTING LICENSE, LLC",0.275,,,,,,,,,762666.0
FM,KXLI-FM3,94.5,HENDERSON,NV,,36.11027777777778,115.00186111111111,C,ADULT CONTEMPORARY,94.5 FM EXITO,,0.35,,,,,,,,,790349.0
FM,KXXP,91.3,CRYSTAL,NV,,36.49058333333333,116.16572222222223,A,,,"LUCKY BOY EDUCATIONAL MEDIA, INC.",0.1,-147.0,,,,,,,,767961.0
FM,KXZZ,100.1,DAYTON,NV,,39.25936111111111,119.70683333333334,C1,COUNTRY,100.1 HANK-FM,LOTUS RADIO CORP.,12.0,659.0,,,,,,,,48685.0
FM,K201BF,88.1,SCOTTY'S JUNCTION,NV,,37.29991666666667,117.25922222222222,D,CLASSICAL,CLASSICAL 89-7,NEVADA PUBLIC RADIO,0.11,461.0,,,,,,,,49874.0
FM,K201FF,88.1,WINNEMUCCA,NV,,41.0085,117.77038888888889,D,RELIGIOUS TEACHING,CSN INTERNATIONAL,CSN INTERNATIONAL,0.01,,,,,,,,,92129.0
FM,K201HO,88.1,RENO,NV,,39.21627777777778,119.79155555555555,D,RELIGIOUS TEACHING,YOUR CHRISTIAN COMPANION,"YOUR CHRISTIAN COMPANION NETWORK, INC.",0.075,-111.3,RENO,100.0,"579,500",,,,,21091.0
FM,K201HX,88.1,MESQUITE,NV,,36.81805555555556,114.06213888888888,D,NEWS/TALK,NEVADA PUBLIC RADIO,NEVADA PUBLIC RADIO,0.25,,LAS VEGAS,29.0,"1,999,500",,,,,48357.0
FM,K203DP,88.5,ARGENTA,NV,,40.558499999999995,116.69786111111111,D,CHRISTIAN CHR + ROCK,EFFECT RADIO,CSN INTERNATIONAL,0.013,,,,,,,,,122156.0
FM,K204EU,88.7,ELKO,NV,,40.928805555555556,115.84394444444445,D,CHRISTIAN CHR + ROCK,EFFECT RADIO,CSN INTERNATIONAL,0.01,,,,,,,,,92229.0
