band,callsign,frequency,city,state,county,lat,lon,class,format,slogan,owner,power,haat,market,rank,population,nfl,nba,nhl,mlb,facility_id
FM,W242AA,96.3,BEACON HILL,MA,,42.361694444444446,71.08552777777777,D,,,WGBH EDUCATIONAL FOUNDATION,0.003,80.0,,,,,,,,72093.0
FM,W293DW,106.5,WEST YARMOUTH,MA,,41.682472222222216,70.35447222222221,D,Adult Hits,X102.3 & 106.5 THE GREATEST HITS ON EARTH,"GCJH, Inc.",0.25,,,,,,,,,142210.0
FM,WFNX-LP,101.3,SCITUATE,MA,,42.13363888888889,70.73244444444444,LP100,Variety,101.3 THE COAST,,0.009,100.0,,,,,,,,777947.0
FM,WGTX-FM,102.3,TRURO,MA,,42.022305555555555,70.07388888888889,A,Adult Hits,X102.3 & 106.5 THE GREATEST HITS ON EARTH,"GCJH, Inc.",2.15,81.0,,,,,,,,68214.0
FM,WJFE,88.1,NANTUCKET,MA,,41.285,70.13972222222223,A,Rhythmic CHR,88.1 EL PINGÜINO,"Nantucket Public Radio, Inc.",0.35,54.0,,,,,,,,767390.0
FM,WJKM-LP,96.9,Springfield,MA,,42.08833333333334,72.55333333333333,LP100,,,Iglesia Cristiana Jehova Vive,0.0,22.75,,,,,,,,788160.0
FM,WKXE,97.3,Orange,MA,,42.60088888888889,72.38180555555554,A,,,,5.8,-6.0,,,,,,,,762508.0
FM,WMVC,91.5,Edgartown,MA,,41.35213888888889,70.51555555555555,A,,,,0.1,16.0,,,,,,,,768062.0
FM,WNGF,91.3,PETERSHAM,MA,,42.525083333333335,72.27786111111111,A,Religious Teaching,INSPO RADIO,NORTHEAST GOSPEL BROADCASTING INC.,0.6,-53.0,,,,,,,,172199.0
FM,WSBR,88.1,Lee,MA,,42.283055555555556,73.25222222222222,A,Variety,PITTSFIELD COMMUNITY RADIO,,0.26,-112.0,,,,,,,,768412.0
FM,WSFD-LP,107.5,WESTFIELD,MA,,42.09308333333333,72.80305555555556,LP100,Variety,WESTFIELD'S COMMUNITY RADIO,City of Westfield,0.1,-39.69,,,,,,,,778780.0
FM,W221EE,92.1,TOPSFIELD,MA,,42.64091666666667,70.94088888888889,D,Business,BLOOMBERG 1450,Bloomberg Radio Newburyport LLC,0.25,,Boston,10.0,"4,463,500",,,,,201495.0
FM,W222CH,92.3,GREENFIELD,MA,,42.570861111111114,72.64475,D,Country,92.3 THE OUTLAW,"SAGA COMMUNICATIONS OF NEW ENGLAND, LLC",0.25,,,,,,,,,140079.0
FM,W229DC,93.7,FALL RIVER,MA,,41.68980555555555,71.14475,D,Ethnic,GREATER FALL RIVER`S ETHNIC RADIO STATION,"RVDE, LLC",0.25,,Providence-Warwick-Pawtucket,44.0,"1,469,100",,Celtics,,,200240.0
FM,W230CP,93.9,PITTSFIELD,MA,,42.43647222222222,73.05355555555555,D,Classic Hits,,"Airwave Ventures ID 153531, LLC",0.106,,,,,,Celtics,,Red Sox,153531.0
FM,W231AK,94.1,GREAT BARRINGTON,MA,,42.21480555555556,73.34483333333333,D,Adult Contemporary,YOUR HOMETOWN STATION,"Townsquare License, LLC",0.25,-71.8,,,,,,,Red Sox,87061.0
FM,W232BW,94.3,AMHERST,MA,,42.36369444444445,72.42286111111112,D,Classic Hits,REWIND 94.3,"SAGA COMMUNICATIONS OF NEW ENGLAND, LLC",0.25,,"Springfield, MA",102.0,"560,500",,,,,84372.0
FM,W234DD,94.7,NORTH ADAMS,MA,,42.698388888888886,73.06452777777777,D,Country,NEW COUNTRY 94.7,"Townsquare License, LLC",0.25,,,,,Patriots,Celtics,Bruins,Red Sox,201077.0
FM,W234DP,94.7,HYANNIS,MA,,41.559,70.59530555555556,D,Variety Hits,FRANK FM,Coxswain Media LLC,0.16,,Cape Cod,194.0,"213,500",,,,,140929.0
FM,W235AV,94.9,TATNUCK,MA,,42.309527777777774,71.90313888888889,D,News/Talk,,iHeartMedia,0.23,232.1,Worcester,119.0,"466,600",Patriots,,,,138657.0
FM,W235CS,94.9,DEDHAM,MA,,42.247055555555555,71.04783333333333,D,Religious Teaching,LIFE CHANGING RADIO,"Blount Masscom, Inc.",0.04,,Boston,10.0,"4,463,500",,,,,138346.0
FM,W236CU,95.1,LOWELL,MA,,42.653888888888886,71.21666666666667,D,Tropical,LA NUEVA MEGA,"GOIS BROADCASTING BOSTON, LLC",0.17,,Boston,10.0,"4,463,500",,,,,139030.0
FM,W240EB,95.9,FALL RIVER,MA,,41.72427777777778,71.18866666666668,D,Talk/Sports,THE LEGENDARY WSAR 1480,"BRISTOL COUNTY BROADCASTING, INC.",0.25,,Providence-Warwick-Pawtucket,44.0,"1,469,100",Patriots,Celtics,,Red Sox,202219.0
FM,W242AT,96.3,WILLIAMSTOWN,MA,,42.710055555555556,73.20286111111112,D,News,NEPM NEWS,UNIVERSITY OF MASSACHUSETTS,0.25,-220.1,,,,,,,,142211.0
FM,W243BG,96.5,NEW BEDFORD,MA,,41.640388888888886,70.91697222222223,D,Variety,MUSIC DISCOVERY,EMERSON COLLEGE,0.055,53.1,Providence-Warwick-Pawtucket,44.0,"1,469,100",,,,,142088.0
FM,W243DC,96.5,BOSTON,MA,,42.35225,71.05627777777778,D,Tropical,LA MEGA,Gois Broadcasting Boston LLC,0.099,,Boston,10.0,"4,463,500",,,,,148707.0
FM,W244CF,96.7,PLYMOUTH,MA,,41.79955555555556,70.54391666666666,D,Religious Teaching,RENEW FM,HORIZON CHRISTIAN FELLOWSHIP,0.01,,Cape Cod,194.0,"213,500",,,,,138875.0
FM,WCFM,91.9,WILLIAMSTOWN,MA,,42.710638888888894,73.20122222222223,A,Rock,,THE PRESIDENT & TRUSTEES OF WILLIAMS COLLEGE,0.44,-255.0,,,,,,,,66277.0
FM,W245BK,96.9,AMHERST,MA,,42.373694444444446,72.67341666666667,D,Oldies,THE VALLEY'S PURE OLDIES 96.9,"SAGA COMMUNICATIONS OF NEW ENGLAND, LLC",0.25,,"Springfield, MA",102.0,"560,500",,,,,84114.0
FM,W246DM,97.1,PITTSFIELD,MA,,42.47536111111111,73.26816666666666,D,Hot AC,THE PEAK 97.1,"WBRK, INC.",0.25,,,,,,,,,201507.0
FM,W247DL,97.3,WESTFIELD,MA,,42.084722222222226,72.70333333333333,D,Urban Contemporary,97.3 THE BEAT,iHeartMedia,0.25,,"Springfield, MA",102.0,"560,500",,,,,144790.0
FM,W249DP,97.7,SPRINGFIELD,MA,,42.14175,72.34813888888888,D,Classic Hits,THE VALLEY'S CLASSIC HITS 97.7 FM,KURT JACKSON,0.25,,"Springfield, MA",102.0,"560,500",,,,,63474.0
FM,W251CQ,98.1,GARDNER,MA,,42.59119444444445,71.98838888888889,D,News/Talk,WGAW TALK 1340 AM,,0.25,,Boston,10.0,"4,463,500",,,,,201705.0
FM,W251CT,98.1,SPRINGFIELD,MA,,42.10916666666667,72.61055555555555,D,Contemporary Hit Radio,NUEVA 98.1,"Audacy License, LLC",0.25,,"Springfield, MA",102.0,"560,500",,Celtics,,,200871.0
FM,W252BG,98.3,LEE,MA,,42.29425,73.21702777777777,D,News,NEPM NEWS,UNIVERSITY OF MASSACHUSETTS,0.013,9.3,,,,,,,,142208.0
FM,W253CD,98.5,EAST LONGMEADOW,MA,,42.11988888888889,72.41036111111111,D,Rock,LAZER 99.3,"SAGA COMMUNICATIONS OF NEW ENGLAND, LLC",0.19,,"Springfield, MA",102.0,"560,500",Patriots,,,,156452.0
FM,W254AU,98.7,GREAT BARRINGTON,MA,,42.213972222222225,73.34480555555555,D,News,NEPM NEWS,UNIVERSITY OF MASSACHUSETTS,0.25,-53.7,,,,,,,,142841.0
